Algorithm,InputSize,TimeMillis,Comparisons,Swaps,Allocations,MaxDepth
ClosestPair,10,0,003,45,0,0,0
ClosestPair,10,0,004,45,0,0,0
ClosestPair,10,0,003,45,0,0,0
ClosestPair,20,0,056,190,0,0,0
ClosestPair,20,0,022,190,0,0,0
ClosestPair,20,0,043,190,0,0,0
ClosestPair,40,0,032,780,0,0,0
ClosestPair,40,0,031,780,0,0,0
ClosestPair,40,0,032,780,0,0,0
ClosestPair,80,0,148,3160,0,0,0
ClosestPair,80,0,014,3160,0,0,0
ClosestPair,80,0,013,3160,0,0,0
ClosestPair,160,0,330,2449,0,2240,0
ClosestPair,160,0,244,2553,0,2240,0
ClosestPair,160,0,255,2487,0,2240,0
ClosestPair,320,0,472,5693,0,5120,0
ClosestPair,320,0,402,5684,0,5120,0
ClosestPair,320,0,468,5733,0,5120,0
ClosestPair,640,0,732,12982,0,11520,0
ClosestPair,640,0,713,13113,0,11520,0
ClosestPair,640,0,689,12988,0,11520,0
ClosestPair,1280,1,914,28981,0,25600,0
ClosestPair,1280,1,515,29064,0,25600,0
ClosestPair,1280,1,177,28750,0,25600,0
ClosestPair,2560,3,296,63986,0,56320,0
ClosestPair,2560,3,237,63962,0,56320,0
ClosestPair,2560,3,506,63841,0,56320,0
ClosestPair,5120,8,181,140399,0,122880,0
ClosestPair,5120,7,816,139684,0,122880,0
ClosestPair,5120,8,163,139783,0,122880,0
