Algorithm,InputSize,TimeMillis,Comparisons,Swaps,Allocations,MaxDepth
MergeSort,10,0,010,38,0,10,0
MergeSort,10,0,004,34,0,10,0
MergeSort,10,0,004,35,0,10,0
MergeSort,20,0,012,96,0,20,0
MergeSort,20,0,037,74,0,20,0
MergeSort,20,0,010,74,0,20,0
MergeSort,40,0,016,204,0,40,0
MergeSort,40,0,033,194,0,40,0
MergeSort,40,0,040,200,0,40,0
MergeSort,80,0,066,470,0,80,0
MergeSort,80,0,032,458,0,80,0
MergeSort,80,0,042,451,0,80,0
MergeSort,160,0,059,1079,0,160,0
MergeSort,160,0,052,1075,0,160,0
MergeSort,160,0,050,1045,0,160,0
MergeSort,320,0,128,2488,0,320,0
MergeSort,320,0,331,2475,0,320,0
MergeSort,320,0,057,2482,0,320,0
MergeSort,640,0,102,5556,0,640,0
MergeSort,640,0,062,5626,0,640,0
MergeSort,640,0,058,5549,0,640,0
MergeSort,1280,0,141,12527,0,1280,0
MergeSort,1280,0,128,12472,0,1280,0
MergeSort,1280,0,135,12472,0,1280,0
MergeSort,2560,0,291,27449,0,2560,0
MergeSort,2560,0,303,27450,0,2560,0
MergeSort,2560,0,289,27496,0,2560,0
MergeSort,5120,0,775,60182,0,5120,0
MergeSort,5120,1,225,60385,0,5120,0
MergeSort,5120,1,602,60302,0,5120,0
MergeSort,10240,4,091,130768,0,10240,0
MergeSort,10240,1,674,130912,0,10240,0
MergeSort,10240,0,733,130666,0,10240,0
MergeSort,20480,1,144,282128,0,20480,0
MergeSort,20480,1,118,281430,0,20480,0
MergeSort,20480,1,127,281887,0,20480,0
MergeSort,40960,2,673,604885,0,40960,0
MergeSort,40960,2,407,605557,0,40960,0
MergeSort,40960,2,440,605268,0,40960,0
MergeSort,81920,5,575,1291897,0,81920,0
MergeSort,81920,5,251,1291514,0,81920,0
MergeSort,81920,5,117,1292282,0,81920,0
