Algorithm,InputSize,TimeMillis,Comparisons,Swaps,Allocations,MaxDepth
MergeSort,10,0,010,26,0,10,0
QuickSort,10,0,010,21,0,0,0
DeterministicSelect,10,0,041,47,11,14,0
ClosestPair,10,0,003,45,0,0,0
MergeSort,10,0,004,26,0,10,0
QuickSort,10,0,006,28,0,0,0
DeterministicSelect,10,0,017,26,8,12,0
ClosestPair,10,0,004,45,0,0,0
MergeSort,10,0,004,25,0,10,0
QuickSort,10,0,006,34,0,0,0
DeterministicSelect,10,0,016,45,17,14,0
ClosestPair,10,0,003,45,0,0,0
MergeSort,20,0,013,74,0,20,0
QuickSort,20,0,016,70,23,0,0
DeterministicSelect,20,0,037,99,34,27,0
ClosestPair,20,0,014,190,0,0,0
MergeSort,20,0,012,79,0,20,0
QuickSort,20,0,029,75,15,0,0
DeterministicSelect,20,0,019,102,33,29,0
ClosestPair,20,0,008,190,0,0,0
MergeSort,20,0,006,75,0,20,0
QuickSort,20,0,010,77,29,0,0
DeterministicSelect,20,0,031,99,33,26,0
ClosestPair,20,0,008,190,0,0,0
MergeSort,40,0,012,195,0,40,0
QuickSort,40,0,027,204,100,0,0
DeterministicSelect,40,0,058,267,82,59,0
ClosestPair,40,0,031,780,0,0,0
MergeSort,40,0,011,188,0,40,0
QuickSort,40,0,018,190,50,0,0
DeterministicSelect,40,0,014,112,36,50,0
ClosestPair,40,0,031,780,0,0,0
MergeSort,40,0,017,191,0,40,0
QuickSort,40,0,028,199,68,0,0
DeterministicSelect,40,0,036,223,68,58,0
ClosestPair,40,0,031,780,0,0,0
MergeSort,80,0,022,452,0,80,0
QuickSort,80,0,027,512,145,0,0
DeterministicSelect,80,0,052,522,157,122,0
ClosestPair,80,0,170,3160,0,0,0
MergeSort,80,0,023,483,0,80,0
QuickSort,80,0,030,514,228,0,0
DeterministicSelect,80,0,085,560,182,127,0
ClosestPair,80,0,016,3160,0,0,0
MergeSort,80,0,023,478,0,80,0
QuickSort,80,0,029,505,210,0,0
DeterministicSelect,80,0,018,277,95,103,0
ClosestPair,80,0,013,3160,0,0,0
MergeSort,160,0,048,1041,0,160,0
QuickSort,160,0,048,1208,478,0,0
DeterministicSelect,160,0,030,1000,280,239,0
ClosestPair,160,0,277,2539,0,2240,0
MergeSort,160,0,053,1109,0,160,0
QuickSort,160,0,038,1122,418,0,0
DeterministicSelect,160,0,044,1087,335,248,0
ClosestPair,160,0,288,2459,0,2240,0
MergeSort,160,0,045,1101,0,160,0
QuickSort,160,0,028,1214,474,0,0
DeterministicSelect,160,0,034,1095,328,252,0
ClosestPair,160,0,226,2495,0,2240,0
MergeSort,320,0,091,2578,0,320,0
QuickSort,320,0,073,2839,1211,0,0
DeterministicSelect,320,0,123,2238,654,501,0
ClosestPair,320,0,452,5835,0,5120,0
MergeSort,320,0,049,2447,0,320,0
QuickSort,320,0,073,2817,1231,0,0
DeterministicSelect,320,0,108,2361,700,507,0
ClosestPair,320,0,412,5746,0,5120,0
MergeSort,320,0,093,2461,0,320,0
QuickSort,320,0,057,2670,858,0,0
DeterministicSelect,320,0,072,2074,603,485,0
ClosestPair,320,0,417,5756,0,5120,0
MergeSort,640,0,057,5606,0,640,0
QuickSort,640,0,094,6187,2048,0,0
DeterministicSelect,640,0,115,4571,1292,1007,0
ClosestPair,640,0,662,12951,0,11520,0
MergeSort,640,0,054,5618,0,640,0
QuickSort,640,0,085,5990,2432,0,0
DeterministicSelect,640,0,080,4952,1442,1038,0
ClosestPair,640,0,670,12918,0,11520,0
MergeSort,640,0,047,5621,0,640,0
QuickSort,640,0,083,6432,2632,0,0
DeterministicSelect,640,0,077,4910,1414,1030,0
ClosestPair,640,0,699,12972,0,11520,0
MergeSort,1280,0,115,12526,0,1280,0
QuickSort,1280,0,161,15621,7454,0,0
DeterministicSelect,1280,0,145,10001,2848,2077,0
ClosestPair,1280,1,464,28892,0,25600,0
MergeSort,1280,0,142,12506,0,1280,0
QuickSort,1280,0,179,14965,7314,0,0
DeterministicSelect,1280,0,141,9957,2800,2072,0
ClosestPair,1280,1,213,28819,0,25600,0
MergeSort,1280,0,107,12569,0,1280,0
QuickSort,1280,0,172,15278,7057,0,0
DeterministicSelect,1280,0,708,9842,2768,2068,0
ClosestPair,1280,1,145,28853,0,25600,0
MergeSort,2560,0,341,27542,0,2560,0
QuickSort,2560,0,236,33179,16442,0,0
DeterministicSelect,2560,1,198,20299,5726,4173,0
ClosestPair,2560,2,520,63706,0,56320,0
MergeSort,2560,0,393,27458,0,2560,0
QuickSort,2560,0,329,33214,13353,0,0
DeterministicSelect,2560,1,785,20673,5862,4211,0
ClosestPair,2560,3,953,63620,0,56320,0
MergeSort,2560,0,442,27489,0,2560,0
QuickSort,2560,0,231,35479,11652,0,0
DeterministicSelect,2560,1,197,20138,5641,4169,0
ClosestPair,2560,3,690,64255,0,56320,0
MergeSort,5120,1,527,60189,0,5120,0
QuickSort,5120,0,908,70208,30881,0,0
DeterministicSelect,5120,0,330,40670,11474,8360,0
ClosestPair,5120,8,456,139806,0,122880,0
MergeSort,5120,0,944,60275,0,5120,0
QuickSort,5120,0,933,71371,28877,0,0
DeterministicSelect,5120,0,497,41418,11669,8411,0
ClosestPair,5120,7,110,140007,0,122880,0
MergeSort,5120,1,005,60155,0,5120,0
QuickSort,5120,0,848,74705,31224,0,0
DeterministicSelect,5120,0,507,40888,11433,8362,0
ClosestPair,5120,10,064,139903,0,122880,0
MergeSort,10240,0,737,130677,0,10240,0
QuickSort,10240,1,004,157159,59909,0,0
DeterministicSelect,10240,0,957,83148,23335,16863,0
MergeSort,10240,0,642,130845,0,10240,0
QuickSort,10240,1,024,162292,80174,0,0
DeterministicSelect,10240,0,768,83884,23376,16888,0
MergeSort,10240,0,654,130849,0,10240,0
QuickSort,10240,1,250,158570,69773,0,0
DeterministicSelect,10240,0,932,83381,23245,16868,0
MergeSort,20480,1,217,282148,0,20480,0
QuickSort,20480,1,279,349713,149954,0,0
DeterministicSelect,20480,1,255,167593,46483,33747,0
MergeSort,20480,1,183,282291,0,20480,0
QuickSort,20480,1,168,354006,155848,0,0
DeterministicSelect,20480,1,358,166972,46414,33668,0
MergeSort,20480,1,517,282099,0,20480,0
QuickSort,20480,1,372,350175,158081,0,0
DeterministicSelect,20480,1,720,169536,47043,33893,0
MergeSort,40960,2,731,604905,0,40960,0
QuickSort,40960,3,135,814431,346229,0,0
DeterministicSelect,40960,2,439,337385,93116,67590,0
MergeSort,40960,2,711,604561,0,40960,0
QuickSort,40960,2,613,763269,313312,0,0
DeterministicSelect,40960,2,200,337127,92936,67541,0
MergeSort,40960,3,134,604972,0,40960,0
QuickSort,40960,2,955,747561,332419,0,0
DeterministicSelect,40960,2,313,334143,92266,67389,0
MergeSort,81920,6,367,1292170,0,81920,0
QuickSort,81920,5,540,1661519,698346,0,0
DeterministicSelect,81920,4,996,681355,187558,135636,0
MergeSort,81920,6,570,1292550,0,81920,0
QuickSort,81920,5,158,1639226,683475,0,0
DeterministicSelect,81920,5,485,692425,191172,136620,0
MergeSort,81920,5,765,1292062,0,81920,0
QuickSort,81920,5,666,1613000,638587,0,0
DeterministicSelect,81920,5,266,677811,186737,135407,0
