Algorithm,InputSize,TimeMillis,Comparisons,Swaps,Allocations,MaxDepth
QuickSort,10,0,013,29,0,0,0
QuickSort,10,0,006,26,0,0,0
QuickSort,10,0,005,27,0,0,0
QuickSort,20,0,019,76,14,0,0
QuickSort,20,0,053,91,27,0,0
QuickSort,20,0,021,66,10,0,0
QuickSort,40,0,052,180,46,0,0
QuickSort,40,0,058,187,68,0,0
QuickSort,40,0,034,239,100,0,0
QuickSort,80,0,063,473,182,0,0
QuickSort,80,0,046,496,164,0,0
QuickSort,80,0,034,526,188,0,0
QuickSort,160,0,056,1193,363,0,0
QuickSort,160,0,073,1109,431,0,0
QuickSort,160,0,055,1143,449,0,0
QuickSort,320,0,150,2992,1432,0,0
QuickSort,320,0,078,2840,1284,0,0
QuickSort,320,0,071,2855,980,0,0
QuickSort,640,0,132,6871,2693,0,0
QuickSort,640,0,101,6269,2582,0,0
QuickSort,640,0,100,6592,2074,0,0
QuickSort,1280,0,241,14112,6303,0,0
QuickSort,1280,0,300,15540,6282,0,0
QuickSort,1280,0,210,13509,5652,0,0
QuickSort,2560,0,465,31985,14019,0,0
QuickSort,2560,0,359,32680,15237,0,0
QuickSort,2560,0,259,33155,14552,0,0
QuickSort,5120,0,776,74441,27601,0,0
QuickSort,5120,0,639,73705,31958,0,0
QuickSort,5120,0,434,73579,33463,0,0
QuickSort,10240,0,966,153230,69646,0,0
QuickSort,10240,0,870,166062,76435,0,0
QuickSort,10240,0,920,163202,62974,0,0
QuickSort,20480,1,299,366566,147660,0,0
QuickSort,20480,1,190,357563,174302,0,0
QuickSort,20480,1,139,354899,166252,0,0
QuickSort,40960,2,604,733542,338396,0,0
QuickSort,40960,2,554,751819,319061,0,0
QuickSort,40960,2,380,766999,352477,0,0
QuickSort,81920,4,811,1594943,705847,0,0
QuickSort,81920,4,874,1596034,687928,0,0
QuickSort,81920,4,933,1671568,730853,0,0
