Algorithm,InputSize,TimeMillis,Comparisons,Swaps,Allocations,MaxDepth
DeterministicSelect,10,0,042,44,12,14,0
DeterministicSelect,10,0,021,24,10,12,0
DeterministicSelect,10,0,010,27,10,12,0
DeterministicSelect,20,0,027,103,33,28,0
DeterministicSelect,20,0,035,112,44,29,0
DeterministicSelect,20,0,040,108,27,26,0
DeterministicSelect,40,0,076,227,72,57,0
DeterministicSelect,40,0,047,214,65,57,0
DeterministicSelect,40,0,047,233,72,58,0
DeterministicSelect,80,0,095,488,146,121,0
DeterministicSelect,80,0,069,546,180,126,0
DeterministicSelect,80,0,035,548,179,123,0
DeterministicSelect,160,0,041,939,292,237,0
DeterministicSelect,160,0,058,1058,319,246,0
DeterministicSelect,160,0,063,1054,330,247,0
DeterministicSelect,320,0,044,1217,353,418,0
DeterministicSelect,320,0,101,2438,715,513,0
DeterministicSelect,320,0,055,1196,336,416,0
DeterministicSelect,640,0,113,4884,1418,1034,0
DeterministicSelect,640,0,129,4766,1391,1026,0
DeterministicSelect,640,0,153,4969,1431,1037,0
DeterministicSelect,1280,0,162,9844,2793,2067,0
DeterministicSelect,1280,0,159,9849,2786,2073,0
DeterministicSelect,1280,0,152,9886,2784,2071,0
DeterministicSelect,2560,0,331,20577,5750,4200,0
DeterministicSelect,2560,0,285,20292,5650,4163,0
DeterministicSelect,2560,0,306,20441,5800,4194,0
DeterministicSelect,5120,0,595,40762,11503,8371,0
DeterministicSelect,5120,0,581,40950,11382,8355,0
DeterministicSelect,5120,0,500,41174,11598,8405,0
DeterministicSelect,10240,5,896,83727,23424,16890,0
DeterministicSelect,10240,4,851,82587,23023,16803,0
DeterministicSelect,10240,0,668,83317,23299,16869,0
DeterministicSelect,20480,1,740,159546,44227,33103,0
DeterministicSelect,20480,1,344,170636,47356,33994,0
DeterministicSelect,20480,1,522,167104,46292,33683,0
DeterministicSelect,40960,2,480,337029,93134,67596,0
DeterministicSelect,40960,2,459,338289,93481,67676,0
DeterministicSelect,40960,4,074,341764,94460,67926,0
DeterministicSelect,81920,4,038,687727,189149,136189,0
DeterministicSelect,81920,4,002,678417,186906,135449,0
DeterministicSelect,81920,4,042,688214,189437,136176,0
